Alabama,4779736,48.9,47,19.2,5.4,46,Republican,Republican,
Alaska,710231,61.7,11,11.4,6.9,13,Republican,Independent,
Arizona,6392017,32.3,31,18.2,5.5,50,Republican,Republican,
Arkansas,2915918,57.9,49,18.7,4,47,Republican,Republican,
California,37253956,20.1,3,16.4,5.5,23,Democratic,Democratic,
Colorado,5029196,34.3,16,12.1,3.6,25,Democratic,Democratic
